run_id,timestamp_start,timestamp_end,duration_seconds,program_number,program_name,completion_status,total_steps,completed_steps,successful_steps,failed_steps,error_message,safety_code,safety_message,hardware_mode,repeat_rows,repeat_lines
c5bd750b-6b18-427d-95ae-bfb4a007f076,2026-02-23T13:57:36.545543,2026-02-23T14:07:37.595090,601.05,9,מזוזה 12,success,494,494,494,0,,,,real,1,4
817e23c5-02b7-46b4-95fc-6129adf0f3dc,2026-02-24T16:41:24.433055,2026-02-24T16:41:25.055525,0.62,10,מזוזה 15,emergency_stop,379,3,3,0,,LINES_MONITOR_DOOR_OPENED,"LINES OPERATION EMERGENCY STOP!
   Row marker changed to DOWN during lines operation
   IMMEDIATE ACTION: Close the rows door (set marker UP)",real,1,3
5c7b7205-6ca6-413f-9ea6-287a3dc98caf,2026-02-25T18:29:50.099082,2026-02-25T18:36:41.607263,411.51,11,מזוזה 20,success,179,179,179,0,,,,real,3,1
7ab30f51-8ac1-42da-aea6-4dbbe5a49372,2026-02-26T13:57:01.547215,2026-02-26T14:03:07.394824,365.85,10,מזוזה 15,emergency_stop,164,163,163,0,,ROWS_MONITOR_DOOR_OPEN,"ROWS LEFT MOVEMENT BLOCKED!
   Row motor door is OPEN (limit switch UP)
   Left movement blocked until door is closed
   Right movement is allowed
   NOTE: Initial move to start position is allowed with door open",real,2,1
2d67064c-123a-4ca2-a4f3-4ffde18f6f85,2026-02-26T14:09:36.646357,2026-02-26T14:11:03.624910,86.98,10,מזוזה 15,user_stop,149,21,21,0,,,,real,1,1
40a07c07-be4e-41f5-b850-a940d5d945c6,2026-02-26T17:09:00.690678,2026-02-26T17:10:22.551883,81.86,10,מזוזה 15,user_stop,494,6,6,0,,,,real,1,4
7d4e60bd-47f0-480f-8a32-1fa5f1490b03,2026-02-26T17:12:42.784188,2026-02-26T17:14:13.616238,90.83,9,מזוזה 12,user_stop,494,13,13,0,,,,real,1,4
ddb34c5f-cd89-495d-a9ad-a01e7eff6122,2026-02-26T17:16:44.104510,2026-02-26T17:23:57.878804,433.77,9,מזוזה 12,emergency_stop,494,420,420,0,,LINES_MONITOR_DOOR_OPENED,"LINES OPERATION EMERGENCY STOP!
   Row marker changed to DOWN during lines operation
   IMMEDIATE ACTION: Close the rows door (set marker UP)",real,1,4
9112296c-ed10-4f55-8886-ecb809e2ffe4,2026-02-27T12:30:45.344103,2026-02-27T12:31:18.094127,32.75,9,מזוזה 12,user_stop,149,6,6,0,,,,real,1,1
ffa4eeea-38f2-424c-9106-fe083255d388,2026-02-27T12:32:39.903741,2026-02-27T12:44:07.429602,687.53,10,מזוזה 15,user_stop,149,21,21,0,,,,real,1,1
bb2e6ae4-955e-4696-b284-aa289f178b89,2026-02-27T13:15:09.090314,2026-02-27T13:19:22.818367,253.73,9,מזוזה 12,emergency_stop,149,148,148,0,,ROWS_MONITOR_DOOR_OPEN,"ROWS LEFT MOVEMENT BLOCKED!
   Row motor door is OPEN (limit switch UP)
   Left movement blocked until door is closed
   Right movement is allowed
   NOTE: Initial move to start position is allowed with door open",real,1,1
72cef545-f891-4652-8784-b9263fad43a2,2026-02-27T15:04:46.737291,2026-02-27T15:06:02.793544,76.06,1,ספר 60,user_stop,329,21,21,0,,,,real,1,1
2a8358ef-bf45-44f2-8b03-7f61c2f331c4,2026-02-27T15:24:12.106416,2026-02-27T15:24:51.847760,39.74,9,מזוזה 12,user_stop,149,11,11,0,,,,real,1,1
506c4550-0e94-49e7-973f-af4338fc9ed2,2026-02-27T15:30:55.718805,2026-02-27T15:33:19.253209,143.53,9,מזוזה 12,user_stop,149,28,28,0,,,,real,1,1
c736861a-74ab-43e6-b374-9ff8fe86932a,2026-02-27T15:37:31.819200,2026-02-27T15:40:57.434985,205.62,9,מזוזה 12,success,149,149,149,0,,,,real,1,1
d1f6c5b1-2c82-4bb5-968d-717d532a40f1,2026-02-27T15:41:49.041953,2026-02-27T15:42:01.512281,12.47,9,מזוזה 12,emergency_stop,149,5,5,0,,LINES_MONITOR_DOOR_OPENED,"LINES OPERATION EMERGENCY STOP!
   Row marker changed to DOWN during lines operation
   IMMEDIATE ACTION: Close the rows door (set marker UP)",real,1,1
ecdbd31c-ae9f-4a6f-bc1c-cdb552a9ddfc,2026-02-27T16:04:11.701302,2026-02-27T16:05:50.794572,99.09,17,check,emergency_stop,39,33,33,0,,ROWS_MONITOR_DOOR_OPEN,"ROWS LEFT MOVEMENT BLOCKED!
   Row motor door is OPEN (limit switch UP)
   Left movement blocked until door is closed
   Right movement is allowed
   NOTE: Initial move to start position is allowed with door open",real,1,1
06aa8a7d-d28d-48e6-acc4-70c26099bf53,2026-02-27T16:06:25.333604,2026-02-27T16:06:25.614371,0.28,17,check,emergency_stop,39,3,3,0,,LINES_MONITOR_DOOR_OPENED,"LINES OPERATION EMERGENCY STOP!
   Row marker changed to DOWN during lines operation
   IMMEDIATE ACTION: Close the rows door (set marker UP)",real,1,1
5d85908f-06b7-45de-a733-a1962ffe5139,2026-02-27T16:09:56.162946,2026-02-27T16:09:56.445968,0.28,17,check,emergency_stop,39,3,3,0,,LINES_MONITOR_DOOR_OPENED,"LINES OPERATION EMERGENCY STOP!
   Row marker changed to DOWN during lines operation
   IMMEDIATE ACTION: Close the rows door (set marker UP)",real,1,1
